"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.vcm_round","player.individual_exchange","player.group_exchange","player.group_exchange_percent","player.total_op_individual_exchange","player.total_op_group_exchange","player.mpcr","player.round_points","player.player_role","player.player_role_list","player.paid_round","player.final_score","player.final_avg_ge","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"56",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,3,4,16,4,0.2,37,23,0.3,24.1,NA,NA,NA,NA,NA,0,2,4,"2huaehm1",NA,NA,NA,NA,NA,0
"57",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,3,4,11.4,8.6,0.43,44,16,0.3,18.78,NA,NA,NA,NA,NA,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"58",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,1,4,16.74,1.26,0.07,40,20,0.3,23.118,NA,NA,NA,NA,NA,0,3,4,"2huaehm1",NA,NA,NA,NA,NA,0
"59",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,4,4,19,1,0.05,32,28,0.3,27.7,NA,NA,NA,NA,NA,0,2,4,"2huaehm1",NA,NA,NA,NA,NA,0
"60",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,4,4,1,19,0.95,52,8,0.3,9.1,NA,NA,NA,NA,NA,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"61",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,2,4,10,10,0.5,46.74,11.26,0.3,16.378,NA,NA,NA,NA,NA,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"62",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,1,4,1,19,0.95,50,10,0.3,9.7,NA,NA,NA,NA,NA,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"63",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,2,4,10,10,0.5,45.4,14.6,0.3,17.38,NA,NA,NA,NA,NA,0,2,4,"2huaehm1",NA,NA,NA,NA,NA,0
"64",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,2,4,19,1,0.05,36.4,23.6,0.3,26.38,NA,NA,NA,NA,NA,0,4,4,"2huaehm1",NA,NA,NA,NA,NA,0
"65",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,1,5,17,3,0.15,29,31,0.3,27.2,NA,NA,NA,NA,NA,0,3,5,"2huaehm1",NA,NA,NA,NA,NA,0
